Extracted from the UNHCR Population Statistics Reference Database,United Nations High Commissioner for Refugees,,,
Date extracted: 2016-03-24 20:11:16 +01:00,,,,
Country / territory of asylum/residence,Origin,Year,Month,Value
Albania,Syrian Arab Rep.,2012,December,3
Albania,Syrian Arab Rep.,2013,March,8
Albania,Syrian Arab Rep.,2013,August,4
Albania,Syrian Arab Rep.,2013,September,4
Albania,Syrian Arab Rep.,2013,December,8
Albania,Syrian Arab Rep.,2014,May,*
Albania,Syrian Arab Rep.,2014,June,*
Albania,Syrian Arab Rep.,2014,July,10
Albania,Syrian Arab Rep.,2014,August,6
Albania,Syrian Arab Rep.,2014,September,*
Albania,Syrian Arab Rep.,2014,October,32
Albania,Syrian Arab Rep.,2014,November,30
Albania,Syrian Arab Rep.,2014,December,8
Albania,Syrian Arab Rep.,2015,April,28
Albania,Syrian Arab Rep.,2015,May,*
Albania,Syrian Arab Rep.,2015,June,37
Albania,Syrian Arab Rep.,2015,August,*
Albania,Syrian Arab Rep.,2015,October,*
Australia,Syrian Arab Rep.,2011,March,7
Australia,Syrian Arab Rep.,2011,April,2
Australia,Syrian Arab Rep.,2011,May,7
Australia,Syrian Arab Rep.,2011,June,7
Australia,Syrian Arab Rep.,2011,July,8
Australia,Syrian Arab Rep.,2011,August,12
Australia,Syrian Arab Rep.,2011,September,18
Australia,Syrian Arab Rep.,2011,October,12
Australia,Syrian Arab Rep.,2011,November,8
Australia,Syrian Arab Rep.,2011,December,12
Australia,Syrian Arab Rep.,2012,January,29
Australia,Syrian Arab Rep.,2012,February,11
Australia,Syrian Arab Rep.,2012,March,14
Australia,Syrian Arab Rep.,2012,April,11
Australia,Syrian Arab Rep.,2012,May,9
Australia,Syrian Arab Rep.,2012,June,7
Australia,Syrian Arab Rep.,2012,July,8
Australia,Syrian Arab Rep.,2012,August,11
Australia,Syrian Arab Rep.,2012,September,9
Australia,Syrian Arab Rep.,2012,October,9
Australia,Syrian Arab Rep.,2012,November,16
Australia,Syrian Arab Rep.,2012,December,9
Australia,Syrian Arab Rep.,2013,January,17
Australia,Syrian Arab Rep.,2013,February,6
Australia,Syrian Arab Rep.,2013,March,9
Australia,Syrian Arab Rep.,2013,April,12
Australia,Syrian Arab Rep.,2013,May,16
Australia,Syrian Arab Rep.,2013,June,2
Australia,Syrian Arab Rep.,2013,July,18
Australia,Syrian Arab Rep.,2013,August,15
Australia,Syrian Arab Rep.,2013,September,19
Australia,Syrian Arab Rep.,2013,October,5
Australia,Syrian Arab Rep.,2013,November,8
Australia,Syrian Arab Rep.,2013,December,12
Australia,Syrian Arab Rep.,2014,January,12
Australia,Syrian Arab Rep.,2014,February,*
Australia,Syrian Arab Rep.,2014,March,*
Australia,Syrian Arab Rep.,2014,April,6
Australia,Syrian Arab Rep.,2014,May,*
Australia,Syrian Arab Rep.,2014,June,9
Australia,Syrian Arab Rep.,2014,July,5
Australia,Syrian Arab Rep.,2014,August,6
Australia,Syrian Arab Rep.,2014,September,*
Australia,Syrian Arab Rep.,2014,October,5
Australia,Syrian Arab Rep.,2014,November,19
Australia,Syrian Arab Rep.,2014,December,*
Australia,Syrian Arab Rep.,2015,January,8
Australia,Syrian Arab Rep.,2015,February,8
Australia,Syrian Arab Rep.,2015,March,*
Australia,Syrian Arab Rep.,2015,April,*
Australia,Syrian Arab Rep.,2015,May,*
Australia,Syrian Arab Rep.,2015,June,9
Australia,Syrian Arab Rep.,2015,July,*
Australia,Syrian Arab Rep.,2015,August,*
Australia,Syrian Arab Rep.,2015,September,15
Australia,Syrian Arab Rep.,2015,October,15
Austria,Syrian Arab Rep.,2011,January,26
Austria,Syrian Arab Rep.,2011,February,17
Austria,Syrian Arab Rep.,2011,March,22
Austria,Syrian Arab Rep.,2011,April,31
Austria,Syrian Arab Rep.,2011,May,19
Austria,Syrian Arab Rep.,2011,June,37
Austria,Syrian Arab Rep.,2011,July,34
Austria,Syrian Arab Rep.,2011,August,38
Austria,Syrian Arab Rep.,2011,September,44
Austria,Syrian Arab Rep.,2011,October,77
Austria,Syrian Arab Rep.,2011,November,35
Austria,Syrian Arab Rep.,2011,December,43
